Plot no.,Species,Dbh,Status,Decay Class,Con Class (Fule),per ha conversion,Annual Growth to Subtract,25% Death Date,25% 1922 DBH (dib),25% 1922 DBH (dob),25% 1922 Size bin ,25% 1922 BA (m²),25% 1922 Density (ha-1),50% Death Date,50% 1922 DBH (dib),50% 1922 DBH (dob),50% 1922 Size bin,50% 1922 BA (m²),50% 1922 Density (ha-1),75% Death Date,75% 1922 DBH (dib),75% 1922 DBH (dob),75% 1922 Size bin,75% 1922 BA (m²),75% 1922 Density (ha-1)
121,PIST,35,4,6,8,25,0.136585366,1922,23.8,27.02856,3,0.057376852,25,1963,29.4,33.32968,3,0.087247539,25,1985,32.40487805,36.71076878,4,0.10584683,25
121,PIST,43,2,5,6,25,0.136585366,1954,36.17073171,40.94810732,4,0.131691748,25,1979,39.58536585,44.79025366,4,0.157564342,25,1991,41.22439024,46.6344839,5,0.170806835,25
122,PSME,10.8,2,2,3,25,0.190243902,2004,10.8,10.8,1,0.009160906,25,2004,10.8,10.8,1,0.009160906,25,2004,10.8,10.8,1,0.009160906,25
122,PSME,27.5,4,5,6,25,0.190243902,1947,16.65609756,19.31380512,2,0.029297232,25,1956,18.36829268,21.32717537,2,0.035723794,25,1982,23.31463415,27.14357829,3,0.057866218,25
123,PSME,8,4,6,8,25,0.190243902,1908,-10.26341463,-12.34084927,0,0,0,1963,0.2,-0.03692,sap,0,0,1985,4.385365854,4.884651707,sap,0.00187395,0
123,PSME,9,2,6,7,25,0.190243902,1908,-9.263414634,-11.16494927,0,0,0,1978,4.053658537,4.494597073,sap,0.001586618,0,1991,6.526829268,7.402798537,1,0.004304104,25
123,PSME,9.1,2,6,7,25,0.190243902,1908,-9.163414634,-11.04735927,0,0,0,1978,4.153658537,4.612187073,sap,0.001670724,0,1991,6.626829268,7.520388537,1,0.004441927,25
123,PSME,17,4,6,8,25,0.190243902,1908,-1.263414634,-1.757749268,0,0,0,1963,9.2,10.54618,1,0.008735369,25,1985,13.38536585,15.46775171,1,0.0187908,25
123,PSME,17,4,6,8,25,0.190243902,1908,-1.263414634,-1.757749268,0,0,0,1963,9.2,10.54618,1,0.008735369,25,1985,13.38536585,15.46775171,1,0.0187908,25
123,PSME,20,4,6,8,25,0.190243902,1908,1.736585366,1.769950732,0,0.000246044,0,1963,12.2,14.07388,1,0.01555674,25,1985,16.38536585,18.99545171,2,0.028339367,25
123,PSME,21,4,6,8,25,0.190243902,1908,2.736585366,2.945850732,0,0.000681573,0,1963,13.2,15.24978,1,0.018264932,25,1985,17.38536585,20.17135171,2,0.031956625,25
123,QUGA,5,4,5,6,25,0.075609756,1969,2.353658537,2.353658537,sap,0.000435089,0,1956,1.370731707,1.370731707,sap,0.000147569,0,1982,3.336585366,3.336585366,sap,0.00087437,0
123,QUGA,5,3,4,5,25,0.075609756,1986,3.63902439,3.63902439,sap,0.001040066,0,1995,4.319512195,4.319512195,sap,0.001465414,0,1998,4.546341463,4.546341463,sap,0.001623361,0
123,QUGA,5.8,3,4,5,25,0.075609756,1986,4.43902439,4.43902439,sap,0.001547626,0,1995,5.119512195,5.119512195,1,0.002058487,25,1998,5.346341463,5.346341463,1,0.002244938,25
123,QUGA,6.5,2,5,6,25,0.075609756,1969,3.853658537,3.853658537,sap,0.001166373,0,1956,2.870731707,2.870731707,sap,0.000647256,0,1982,4.836585366,4.836585366,sap,0.001837252,0
123,QUGA,9.2,3,4,5,25,0.075609756,1986,7.83902439,7.83902439,1,0.004826307,25,1995,8.519512195,8.519512195,1,0.005700597,25,1998,8.746341463,8.746341463,1,0.006008191,25
124,PIST,5.6,2,2,3,25,0.136585366,2004,5.6,5.6,1,0.002463014,25,2004,5.6,5.6,1,0.002463014,25,2004,5.6,5.6,1,0.002463014,25
124,PIST,12.7,2,4,5,25,0.136585366,1986,10.24146341,10.24146341,1,0.00823787,25,1995,11.47073171,11.47073171,1,0.010334111,25,1998,11.8804878,11.8804878,1,0.011085606,25
124,PIST,14.9,2,5,6,25,0.136585366,1954,8.070731707,9.329987317,1,0.006836802,25,1979,11.48536585,13.17213366,1,0.013627091,25,1991,13.12439024,15.0163639,1,0.017710078,25
124,PIST,20,4,6,8,25,0.136585366,1922,8.8,10.15056,1,0.00809228,25,1963,14.4,16.45168,2,0.021257462,25,1985,17.40487805,19.83276878,2,0.030892823,25
124,PIST,35,4,6,8,25,0.136585366,1922,23.8,27.02856,3,0.057376852,25,1963,29.4,33.32968,3,0.087247539,25,1985,32.40487805,36.71076878,4,0.10584683,25
124,PIST,39,4,6,8,25,0.136585366,1922,27.8,31.52936,3,0.078076657,25,1963,33.4,37.83048,4,0.112402145,25,1985,36.40487805,41.21156878,4,0.133391818,25
124,PSME,39,4,6,8,25,0.190243902,1908,20.73658537,24.11205073,0,0.045662448,0,1963,31.2,36.41598,4,0.104153747,25,1985,35.38536585,41.33755171,4,0.134208616,25
124,QUGA,6,3,4,5,25,0.075609756,1986,4.63902439,4.63902439,sap,0.001690224,0,1995,5.319512195,5.319512195,1,0.002222463,25,1998,5.546341463,5.546341463,1,0.00241604,25
125,PIST,5,2,2,3,25,0.136585366,2004,5,5,1,0.0019635,25,2004,5,5,1,0.0019635,25,2004,5,5,1,0.0019635,25
125,PIST,7,4,6,8,25,0.136585366,1922,-4.2,-4.47704,sap,0,0,1963,1.4,1.82408,sap,0.000261324,0,1985,4.404878049,5.20516878,1,0.002127946,25
125,PIST,7,2,5,6,25,0.136585366,1954,0.170731707,0.440907317,sap,1.52681E-05,0,1979,3.585365854,4.283053659,sap,0.001440781,0,1991,5.224390244,6.127283902,1,0.002948675,25
125,PIST,8,2,6,7,25,0.136585366,1922,-3.2,-3.35184,sap,0,0,1987,5.67804878,6.637740488,1,0.003460441,25,1995,6.770731707,7.867227317,1,0.004861097,25
125,PIST,8.4,2,4,5,25,0.136585366,1986,5.941463415,5.941463415,1,0.00277254,25,1995,7.170731707,7.170731707,1,0.004038479,25,1998,7.580487805,7.580487805,1,0.004513206,25
125,PIST,9,4,6,8,25,0.136585366,1922,-2.2,-2.22664,sap,0,0,1963,3.4,4.07448,sap,0.001303873,0,1985,6.404878049,7.45556878,1,0.004365686,25
125,PIST,10,4,6,8,25,0.136585366,1922,-1.2,-1.10144,sap,0,0,1963,4.4,5.19968,1,0.00212346,25,1985,7.404878049,8.58076878,1,0.005782868,25
125,PIST,10,4,6,8,25,0.136585366,1922,-1.2,-1.10144,sap,0,0,1963,4.4,5.19968,1,0.00212346,25,1985,7.404878049,8.58076878,1,0.005782868,25
125,PIST,12.5,2,5,6,25,0.136585366,1954,5.670731707,6.629507317,1,0.003451862,25,1979,9.085365854,10.47165366,1,0.008612345,25,1991,10.72439024,12.3158839,1,0.011913025,25
125,PIST,13,4,6,8,25,0.136585366,1922,1.8,2.27416,sap,0.000406193,0,1963,7.4,8.57528,1,0.005775472,25,1985,10.40487805,11.95636878,1,0.011227666,25
125,PIST,15,4,6,8,25,0.136585366,1922,3.8,4.52456,sap,0.001607843,0,1963,9.4,10.82568,1,0.009204523,25,1985,12.40487805,14.20676878,1,0.015851907,25
125,PIST,18.9,3,5,6,25,0.136585366,1954,12.07073171,13.83078732,1,0.01502397,25,1976,15.07560976,17.2118761,2,0.023267371,25,1990,16.98780488,19.36347805,2,0.029448124,25
125,PIST,19,4,6,8,25,0.136585366,1922,7.8,9.02536,1,0.006397642,25,1963,13.4,15.32648,1,0.018449124,25,1985,16.40487805,18.70756878,2,0.02748689,25
125,PIST,20.7,2,3,4,25,0.136585366,1996,19.60731707,19.60731707,2,0.030194458,25,2000,20.15365854,20.15365854,2,0.031900588,25,2002,20.42682927,20.42682927,2,0.032771235,25
125,PIST,30,3,6,7,25,0.136585366,1922,18.8,21.40256,2,0.035976784,25,1987,27.67804878,31.39214049,3,0.077398538,25,1995,28.77073171,32.62162732,3,0.083579956,25
125,PIST,52,2,5,6,25,0.136585366,1954,45.17073171,51.07490732,5,0.204883069,25,1979,48.58536585,54.91705366,5,0.236867434,25,1991,50.22439024,56.7612839,6,0.253043577,25
125,PSME,6.6,4,5,6,25,0.190243902,1947,-4.243902439,-5.262504878,sap,0,0,1956,-2.531707317,-3.249134634,sap,0,0,1982,2.414634146,2.567268293,sap,0.000517647,0
126,PIST,15,2,6,7,25,0.136585366,1922,3.8,4.52456,sap,0.001607843,0,1987,12.67804878,14.51414049,1,0.016545258,25,1995,13.77073171,15.74362732,1,0.019467066,25
127,PIST,9,2,5,6,25,0.136585366,1954,2.170731707,2.691307317,sap,0.000568876,0,1979,5.585365854,6.533453659,1,0.00335256,25,1991,7.224390244,8.377683902,1,0.005512376,25
127,PIST,13.3,2,3,4,25,0.136585366,1996,12.20731707,12.20731707,1,0.01170392,25,2000,12.75365854,12.75365854,1,0.012774987,25,2002,13.02682927,13.02682927,1,0.013328103,25
127,PIST,46,3,6,7,25,0.136585366,1922,34.8,39.40576,4,0.121958005,25,1987,43.67804878,49.39534049,5,0.191629719,25,1995,44.77073171,50.62482732,5,0.201288056,25
