Transect,Plot #,Tree #,treeline pos.,Core,Species,Age,Status,Ht.,Decay,CONCLASS,Az.,x,y,2013 DBH,Dist.,AZMTH,x0,y0,X.calc,y.calc,x.abs,y.abs,BA 2013 (m^2/ha),Estab. Year,25% Death Date,50% Death Date,75% Death Date, 25% alive 1900,25% alive 1910, 25% alive 1920, 25% alive 1930, 25% alive 1940, 25% alive 1950, 25% alive 1960, 25% alive 1970, 25% alive 1980, 25% alive 1990, 25% alive 2000, 25% alive 2010,25% alive 2013,50% alive 1900,50% alive 1910,50% alive 1920,50% alive 1930,50% alive 1940,50% alive 1950,50% alive 1960,50% alive 1970,50% alive 1980,50% alive 1990,50% alive 2000,50% alive 2010,50% alive 2013,75% alive 1900,75% alive 1910,75% alive 1920,75% alive 1930,75% alive 1940,75% alive 1950,75% alive 1960,75% alive 1970,75% alive 1980,75% alive 1990,75% alive 2000,75% alive 2010,75% alive 2013
1,15,36,A,No,ABBI,101,2,5,2,3,-,8.5,462.3,15.2,9.76,241,0,467,-8.536288342,462.2682581,8.536288342,462.2682581,0.018145882,1912,2012,2012,2012,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
1,15,40,A,No,ABBI,86,2,5,2,3,-,8.6,463.9,6,9.15,250,0,467,-8.59818748,463.8705157,8.59818748,463.8705157,0.00282744,1927,2012,2012,2012,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0
1,14,12,A,No,ABBI,112,2,-,5,4,-,0.8,366.5,21.8,0.96,236,0,367,-0.79587607,366.4631748,0.79587607,366.4631748,0.03732535,1901,2005,2009,2011,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
1,14,19,A,No,ABBI,103,2,-,2,3,-,4.4,366.5,16.4,4.46,263,0,367,-4.426755836,366.4564627,4.426755836,366.4564627,0.021124118,1910,2012,2012,2012,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
1,14,2,A,No,ABBI,91,2,-,3,3,-,0.8,365.7,9.2,1.5,210,0,367,-0.75,365.7009619,0.75,365.7009619,0.006647626,1922,2012,2012,2012,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0
1,14,52,A,No,PIEN,152,6,-,7,8,320,9.9,352.4,45,17.67,214,0,367,-9.880938604,352.3509061,9.880938604,352.3509061,0.1590435,1861,1952,1983,2000,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,14,43,A,No,PIEN,109,6,-,7,8,339,10.2,356.5,20,14.65,224,0,367,-10.17674513,356.4616719,10.17674513,356.4616719,0.031416,1904,1952,1983,2000,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
1,7,27,A,No,ABBI,92,6,-,3,8,238,5.9,46.0,10,15.2,203,0,60,-5.939113153,46.00832623,5.939113153,46.00832623,0.007854,1921,1962,1987,2002,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
1,7,14,A,No,ABBI,89,6,-,2,8,322,7.4,57.0,8,7.98,248,0,60,-7.398927159,57.01063938,7.398927159,57.01063938,0.00502656,1924,1962,1987,2002,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
1,7,28,A,No,ABBI,87,6,-,3,8,224,6.2,46.1,7,15.2,204,0,60,-6.182396975,46.11410904,6.182396975,46.11410904,0.00384846,1926,1962,1987,2002,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
