Plot no.,Species,DBH (2004),2004 size bin,known age,predicted age,2004 age bin, 2004 Density (ha-1),2004BA (m2),Distance from 1922 (cm),DBH (1922),1922 size bin,1922 Density (ha-1),1922 BA (m2),,,,,,
10,PSME,27.5,3,105,105,6,25,0.0593959,7.8,11.9,1,25,0.011122,,,,,,
10,QUGA,12.5,1,0,81,5,25,0.0122719,3.1,6.3,1,25,0.003117,,,,,,
10,QUGA,13.2,1,0,82,5,25,0.0136848,3.1,7.0,1,25,0.003848,,,,,,
10,QUGA,13.7,1,0,83,5,25,0.0147412,3.1,7.5,1,25,0.004418,,,,,,
10,QUGA,14,1,0,85,5,25,0.0153938,3.1,7.8,1,25,0.004778,,,,,,
10,QUGA,14.7,1,0,85,5,25,0.0169717,3.1,8.5,1,25,0.005675,,,,,,
10,QUGA,15,1,0,86,5,25,0.0176715,3.1,8.8,1,25,0.006082,,,,,,
10,QUGA,15.1,1,0,86,5,25,0.0179079,3.1,8.9,1,25,0.006221,,,,,,
10,QUGA,15.3,1,0,87,5,25,0.0183854,3.1,9.1,1,25,0.006504,,,,,,
10,QUGA,15.8,1,0,89,5,25,0.0196067,3.1,9.6,1,25,0.007238,,,,,,
10,QUGA,20,2,139,139,7,25,0.0314160,3.1,13.8,1,25,0.014957,,,,,,
11,PIST,22.9,2,101,101,6,25,0.0411872,5.6,11.7,1,25,0.010751,,,,,,
11,PIST,26,3,0,113,6,25,0.0530930,5.6,14.8,1,25,0.017203,,,,,,
11,PIST,26,3,0,114,6,25,0.0530930,5.6,14.8,1,25,0.017203,,,,,,
11,QUGA,15.8,1,110,110,6,25,0.0196067,3.1,9.6,1,25,0.007238,,,,,,
11,QUGA,16,2,0,88,5,25,0.0201062,3.1,9.8,1,25,0.007543,,,,,,
11,QUGA,16.1,2,0,91,5,25,0.0203584,3.1,9.9,1,25,0.007698,,,,,,
11,QUGA,17.4,2,0,92,5,25,0.0237788,3.1,11.2,1,25,0.009852,,,,,,
11,QUGA,17.5,2,0,92,5,25,0.0240529,3.1,11.3,1,25,0.010029,,,,,,
11,QUGA,17.5,2,0,94,5,25,0.0240529,3.1,11.3,1,25,0.010029,,,,,,
11,QUGA,18.4,2,0,95,5,25,0.0265905,3.1,12.2,1,25,0.011690,,,,,,
11,QUGA,21.3,2,0,101,6,25,0.0356328,3.1,15.1,1,25,0.017908,,,,,,
11,QUGA,21.3,2,0,101,6,25,0.0356328,3.1,15.1,1,25,0.017908,,,,,,
11,QUGA,21.4,2,0,104,6,25,0.0359682,3.1,15.2,1,25,0.018146,,,,,,
12,PIST,17,2,0,87,5,25,0.0226981,5.6,5.8,1,25,0.002642,,,,,,
12,PIST,19.5,2,164,164,9,25,0.0298648,5.6,8.3,1,25,0.005411,,,,,,
12,PIST,21,2,0,99,5,25,0.0346361,5.6,9.8,1,25,0.007543,,,,,,
12,PIST,21.3,2,0,104,6,25,0.0356328,5.6,10.1,1,25,0.008012,,,,,,
12,PIST,22.8,2,117,117,6,25,0.0408282,5.6,11.6,1,25,0.010568,,,,,,
12,PIST,24,2,0,109,6,25,0.0452390,5.6,12.8,1,25,0.012868,,,,,,
12,PSME,21.3,2,0,104,6,25,0.0356328,7.8,5.7,1,25,0.002552,,,,,,
12,PSME,21.5,2,121,121,7,25,0.0363051,7.8,5.9,1,25,0.002734,,,,,,
12,PSME,22.3,2,0,107,6,25,0.0390572,7.8,6.7,1,25,0.003526,,,,,,
12,PSME,22.5,2,104,104,6,25,0.0397609,7.8,6.9,1,25,0.003739,,,,,,
12,PSME,22.6,2,0,107,6,25,0.0401151,7.8,7.0,1,25,0.003848,,,,,,
12,PSME,30.5,3,120,120,6,25,0.0730618,7.8,14.9,1,25,0.017437,,,,,,
12,QUGA,19.5,2,0,97,5,25,0.0298648,3.1,13.3,1,25,0.013893,,,,,,
13,PIST,21,2,0,99,5,25,0.0346361,5.6,9.8,1,25,0.007543,,,,,,
13,QUGA,12.2,1,0,82,5,25,0.0116899,3.1,6.0,1,25,0.002827,,,,,,
13,QUGA,13.5,1,115,115,6,25,0.0143139,3.1,7.3,1,25,0.004185,,,,,,
13,QUGA,13.9,1,0,83,5,25,0.0151747,3.1,7.7,1,25,0.004657,,,,,,
13,QUGA,14,1,0,83,5,25,0.0153938,3.1,7.8,1,25,0.004778,,,,,,
13,QUGA,14,1,0,83,5,25,0.0153938,3.1,7.8,1,25,0.004778,,,,,,
13,QUGA,14.1,1,0,84,5,25,0.0156145,3.1,7.9,1,25,0.004902,,,,,,
13,QUGA,14.2,1,0,84,5,25,0.0158368,3.1,8.0,1,25,0.005027,,,,,,
13,QUGA,14.3,1,0,84,5,25,0.0160606,3.1,8.1,1,25,0.005153,,,,,,
13,QUGA,14.5,1,0,84,5,25,0.0165130,3.1,8.3,1,25,0.005411,,,,,,
13,QUGA,14.5,1,0,85,5,25,0.0165130,3.1,8.3,1,25,0.005411,,,,,,
13,QUGA,14.8,1,95,95,5,25,0.0172034,3.1,8.6,1,25,0.005809,,,,,,
13,QUGA,15,1,0,86,5,25,0.0176715,3.1,8.8,1,25,0.006082,,,,,,
13,QUGA,15.1,1,0,87,5,25,0.0179079,3.1,8.9,1,25,0.006221,,,,,,
13,QUGA,15.5,1,137,137,7,25,0.0188692,3.1,9.3,1,25,0.006793,,,,,,
13,QUGA,16,2,143,143,8,25,0.0201062,3.1,9.8,1,25,0.007543,,,,,,
13,QUGA,16.2,2,0,89,5,25,0.0206120,3.1,10.0,1,25,0.007854,,,,,,
13,QUGA,16.4,2,0,89,5,25,0.0211241,3.1,10.2,1,25,0.008171,,,,,,
13,QUGA,16.5,2,0,90,5,25,0.0213825,3.1,10.3,1,25,0.008332,,,,,,
13,QUGA,17,2,0,91,5,25,0.0226981,3.1,10.8,1,25,0.009161,,,,,,
13,QUGA,17.2,2,0,92,5,25,0.0232353,3.1,11.0,1,25,0.009503,,,,,,
13,QUGA,17.6,2,0,92,5,25,0.0243286,3.1,11.4,1,25,0.010207,,,,,,
13,QUGA,20,2,0,98,5,25,0.0314160,3.1,13.8,1,25,0.014957,,,,,,
13,QUGA,20,2,0,99,5,25,0.0314160,3.1,13.8,1,25,0.014957,,,,,,
14,PIPO,29.2,3,109,109,6,25,0.0669663,8.5,12.2,1,25,0.011690,,,,,,
14,PIPO,31.5,3,106,106,6,25,0.0779313,8.5,14.5,1,25,0.016513,,,,,,
15,PIPO,24.2,2,0,101,6,25,0.0459962,8.5,7.2,1,25,0.004072,,,,,,
15,PIPO,24.2,2,0,103,6,25,0.0459962,8.5,7.2,1,25,0.004072,,,,,,
15,PIPO,27.9,3,0,115,6,25,0.0611363,8.5,10.9,1,25,0.009331,,,,,,
15,PIPO,31.3,3,0,128,7,25,0.0769449,8.5,14.3,1,25,0.016061,,,,,,
15,QUGA,15.5,1,144,144,8,25,0.0188692,3.1,9.3,1,25,0.006793,,,,,,
16,PIPO,22,2,0,96,5,25,0.0380134,8.5,5.0,1,25,0.001964,,,,,,
20,PIED,15,1,163,163,9,25,0.0176715,4.2,6.6,1,25,0.003421,,,,,,
20,PIED,16.1,2,96,96,5,25,0.0203584,4.2,7.7,1,25,0.004657,,,,,,
21,PIPO,24.4,2,0,103,6,25,0.0467596,8.5,7.4,1,25,0.004301,,,,,,
21,PIPO,28.3,3,0,116,6,25,0.0629019,8.5,11.3,1,25,0.010029,,,,,,
22,PIED,15.3,1,109,109,6,25,0.0183854,4.2,6.9,1,25,0.003739,,,,,,
22,PIED,17.8,2,123,123,7,25,0.0248846,4.2,9.4,1,25,0.006940,,,,,,
22,PIED,18.8,2,111,111,6,25,0.0277592,4.2,10.4,1,25,0.008495,,,,,,
23,PIST,17.3,2,115,115,6,25,0.0235062,5.6,6.1,1,25,0.002922,,,,,,
23,PIST,17.5,2,0,91,5,25,0.0240529,5.6,6.3,1,25,0.003117,,,,,,
23,PIST,21.5,2,105,105,6,25,0.0363051,5.6,10.3,1,25,0.008332,,,,,,
23,PIST,25.7,2,121,121,7,25,0.0518749,5.6,14.5,1,25,0.016513,,,,,,
23,QUGA,16,2,0,88,5,25,0.0201062,3.1,9.8,1,25,0.007543,,,,,,
24,PIED,19.9,2,178,178,9,25,0.0311026,4.2,11.5,1,25,0.010387,,,,,,
25,PIST,17,2,0,87,5,25,0.0226981,5.6,5.8,1,25,0.002642,,,,,,
25,PIST,17,2,0,92,5,25,0.0226981,5.6,5.8,1,25,0.002642,,,,,,
25,PIST,18.7,2,100,100,5,25,0.0274647,5.6,7.5,1,25,0.004418,,,,,,
25,PIST,18.8,2,212,212,11,25,0.0277592,5.6,7.6,1,25,0.004536,,,,,,
25,PSME,20.6,2,131,131,7,25,0.0333292,7.8,5.0,1,25,0.001964,,,,,,
25,PSME,24.3,2,0,111,6,25,0.0463771,7.8,8.7,1,25,0.005945,,,,,,
25,PSME,24.3,2,170,170,9,25,0.0463771,7.8,8.7,1,25,0.005945,,,,,,
25,PSME,24.4,2,116,116,6,25,0.0467596,7.8,8.8,1,25,0.006082,,,,,,
25,PSME,28.2,3,150,150,8,25,0.0624581,7.8,12.6,1,25,0.012469,,,,,,
25,PSME,28.3,3,0,122,7,25,0.0629019,7.8,12.7,1,25,0.012668,,,,,,
25,PSME,28.5,3,140,140,7,25,0.0637941,7.8,12.9,1,25,0.013070,,,,,,
25,QUGA,13.6,1,0,82,5,25,0.0145268,3.1,7.4,1,25,0.004301,,,,,,
25,QUGA,13.6,1,0,86,5,25,0.0145268,3.1,7.4,1,25,0.004301,,,,,,
25,QUGA,15.4,1,139,139,7,25,0.0186265,3.1,9.2,1,25,0.006648,,,,,,
25,QUGA,16,2,0,88,5,25,0.0201062,3.1,9.8,1,25,0.007543,,,,,,
25,QUGA,16.1,2,0,90,5,25,0.0203584,3.1,9.9,1,25,0.007698,,,,,,
25,QUGA,16.7,2,0,90,5,25,0.0219040,3.1,10.5,1,25,0.008659,,,,,,
25,QUGA,16.8,2,0,91,5,25,0.0221671,3.1,10.6,1,25,0.008825,,,,,,
26,PIST,16.2,2,0,86,5,25,0.0206120,5.6,5.0,1,25,0.001964,,,,,,
26,PIST,16.6,2,105,105,6,25,0.0216425,5.6,5.4,1,25,0.002290,,,,,,
26,PIST,20.7,2,0,98,5,25,0.0336536,5.6,9.5,1,25,0.007088,,,,,,
26,PIST,20.7,2,0,98,5,25,0.0336536,5.6,9.5,1,25,0.007088,,,,,,
26,PIST,20.7,2,0,99,5,25,0.0336536,5.6,9.5,1,25,0.007088,,,,,,
26,PIST,21,2,106,106,6,25,0.0346361,5.6,9.8,1,25,0.007543,,,,,,
